p2518	t1735
p14156	t923
p3607	t426
p13438	t263
p1013	t60
p7989	t327
p14087	t1069
p7901	a5265
p7091	t13
p1379	a3489
p10799	a5098
p8358	c11
p11427	t33
p14058	t3313
p10554	t4509
p12140	c17
p2464	a9000
p13375	t19
p1880	t601
p10609	t52
p14157	t108
p9844	t7271
p3782	t7053
p13352	t8383
p6856	t78
p2478	a9011
p8348	a8149
p384	a1906
p11538	a13795
p6399	t321
p6731	t6122
p8177	t751
p4148	t537
p9497	t503
p5285	a11850
p1923	t285
p3083	a6393
p12519	t19
p3088	t143
p14099	a9617
p11930	c17
p3630	t160
p13583	a9324
p586	a1675
p7684	t4177
p12558	t519
p9031	a6815
p6908	a2709
p10292	t432
p10613	t762
p3090	t4
p7433	a1847
p6948	t1255
p4017	t1996
p1286	t51
p5378	t51
p4989	t52
p10655	t527
p4810	t43
p538	t43
p10658	c16
p224	t1698
p7133	t354
p5544	a2163
p6115	t1
p10548	t19
p2153	c2
p8176	t2730
p9616	t2015
p7494	a3443
p5988	t1732
p6129	t1
p11978	t60
p5770	t4
p1502	a3639
p9904	t78
p8903	a10367
p13488	t709
p6986	c10
p3001	a9176
p5279	t4251
p3449	t441
p13755	t919
p4703	t426
p13613	t539
p1655	t33
p603	c1
p5532	t798
p1682	t49
p13223	a4704
p3679	a7537
p6553	t4333
p3595	t53
p10952	a7330
p12754	t5105
p10284	t163
p3837	t556
p4944	t43
p14055	t3695
p3764	t612
p8678	c12
p5641	t377
p10982	t2928
p6085	t2408
p1286	t103
p1394	a234
p14008	t112
p9421	a5784
p8886	t4100
p12362	t2243
p3986	t503
p9066	t442
p8646	t1
p7487	a8378
p1334	a3427
p10444	t650
p11396	t10
p1475	t1278
p5337	t118
p7796	a6762
p8068	t4529
p9080	t37
p2372	a6354
p11260	c17
p11063	a4010
p9060	t297
p10718	a13533
p14266	t549
p7367	a445
p7311	t2
p2325	c3
p8442	t60
p2662	c4
p5699	t43
p12293	t102
p3039	t544
p13248	t640
p4972	t5115
p8130	t481
p8859	c13
p6850	c10
p10697	t62
p3843	a7083
p13916	t3849
p6095	a1454
p12197	t308
p8958	t417
p11745	t1660
p4400	t19
p1270	t1629
p12080	t19
p10994	t461
p14261	t8644
p9999	t106
p5035	t6526
p8327	a8606
p11331	t541
p5022	a11657
p10880	t1763
p243	t43
p2685	t432
p12437	t1248
p815	t1917
p9246	t7119
p11489	t285
p3029	t2276
p12387	t4
p11200	t52
p7880	t263
p5850	a157
p13440	t78
p1133	a3135
p6733	a996
p400	t688
p2659	t1163
p7025	t60
p4971	a2795
p4184	t483
p13557	t60
p12908	a7493
p787	t1535
p9962	t2661
p12857	c18
p5877	a4983
p11238	t1963
p8204	t142
p6874	a9983
p6004	t1152
p4818	a5430
p6191	t1981
p8635	t408
p1569	a3712
p3110	a7991
p2291	t1237
p8561	t6854
p9914	a8138
p1839	t168
p6657	t3062
p747	t60
p8726	t103
p6358	a6958
p3105	t2157
p13941	c18
p7247	t1775
p1604	t19
p4840	t441
p9682	a7215
p4584	t2797
p2879	a75
p5980	c10
p2026	t87
p2604	t735
p9759	t352
p11137	t5233
p1226	t390
p9772	a3910
p2215	t779
p10075	t819
p5363	t134
p14037	t686
p1944	c2
p578	t2974
p13294	t52
p8308	c11
p1959	a7868
p4552	t1547
p2760	a4833
p14305	t423
p6410	t10
p3376	t617
p8313	t6
p711	t43
p12735	t329
p12289	a8679
p10570	c16
p1194	c1
p8147	a5265
p6817	t19
p1130	t914
p2145	t836
p10245	t3772
p5907	a1112
p2723	t163
p3775	t4927
p5839	t1352
p5371	t481
p6707	t446
p6061	c10
p3498	t815
p1009	t2379
p7623	t395
p13012	c18
p7658	t2373
p5672	c9
p14328	t103
p10295	t185
p3753	c7
p12275	t4147
p9176	t2417
p12298	t1192
p6054	a1398
p12566	a759
p11780	t172
p13947	t1926
p3649	a4303
p12045	a13920
p4597	a5319
p12576	t55
p12796	t8238
p6444	a11706
p528	t1263
p13702	t2626
p2389	t627
p12466	t1006
p4661	t5104
p13824	t555
p11792	t7933
p10489	a342
p10820	t1351
p13129	a9154
p2204	t19
p1665	t753
p7683	t3023
p7815	t480
p4562	t503
p10084	t103
p1289	t142
p12862	t474
p13605	t503
p1719	t945
p5441	a2422
p4199	t774
p4489	t60
p641	t3053
p9950	t467
p4714	t1749
p12324	a9661
p12445	t474
p871	c1
p3247	t487
p226	t19
p2351	t363
p1406	t263
p2148	a687
p268	a1666
p11420	a4230
p10572	a5065
p8580	t6866
p10685	a8096
p5412	t4
p10225	t432
p13696	t759
p1156	t60
p13458	t263
p4837	a8329
p11880	t1014
p2520	t3113
p4983	t967
p8150	t460
p4097	t128
p8556	t3691
p10888	a5083
p9086	t974
p5756	t402
p3541	t5742
p6525	t2766
p2649	t106
p7322	t3196
p4374	t5136
p7575	t1192
p7900	a5489
p12181	t36
p12503	t19
p14214	t90
p3774	t238
p2385	t78
p13868	t211
p10699	a2687
p12528	t1085
p11060	t548
p472	c1
p42	a1092
p1090	t626
p4614	t428
p3042	t187
p11776	t2172
p1196	t261
p12362	a11003
p3467	t33
p5655	t1661
p8419	t2578
p12458	t43
p3141	t490
p8164	a6555
p9061	a6544
p10117	t60
p11537	t116
p7969	a11589
p3359	t490
p7691	t106
p10253	t345
p2189	t2022
p3774	t490
p1268	t3093
p7048	t688
p3425	t426
p7875	a4718
p9366	a6396
p10480	a8444
p882	t19
p399	t262
p8576	t53
p13858	t33
p3439	c7
p874	t163
p14091	t863
p6810	t1103
p8416	t2
p8674	t36
p5889	t38
p5620	c9
p11509	t417
p2110	t1320
p394	a1914
p13936	a8649
p11872	a4424
p12461	t2344
p3933	a6670
p13016	t425
p6497	a3730
p2791	t4713
p3324	t485
p445	t490
p9940	c16
p10606	t221
p1619	c2
p733	t4
p12406	t106
p4445	t113
p7802	a2222
p4967	c8
p13838	a1759
p13215	a6507
p4953	a2393
p10936	t2090
p14208	t78
p13977	t416
p13359	t19
p13351	a1712
p10713	t5211
p2501	t3534
p9460	t825
p12576	t43
p3105	a1123
p10316	t4
p3838	t4921
p3996	t2250
p7859	a10367
p2256	t43
p5212	t12
p5594	t278
p5732	t2303
p9465	a6441
p3910	a6423
p13322	t284
p3847	t518
p7489	t2340
p6187	t338
p761	t3174
p6111	a10389
p7339	a7409
p2870	t19
p10174	t19
p9855	t1317
p11019	a5065
p13090	t425
p11110	a8194
p10190	a1852
p13025	t8297
p3068	t115
p10923	t7561
p2896	t426
p12342	t488
p1017	t1788
p9692	a12729
p7518	t1338
p360	t1163
p2894	t12
p864	c1
p4498	a1759
p11741	a6738
p510	t2847
p9063	a307
p10319	t986
p5446	a4852
p9968	c16
p7340	t3962
p8639	t1310
p2205	a8212
p1847	a339
p1038	t495
p9065	t2625
p9152	t2284
p7720	a302
p1853	c2
p12778	t285
p5504	t278
p7148	t541
p5467	a5352
p66	a1179
p7046	t176
p13723	t4203
p11554	t285
p4307	t2892
p10229	t221
p3300	a8618
p12332	t71
p12742	t8220
p11454	t55
p11333	t79
p11005	t106
p6637	t36
p9773	t36
p8874	t252
p13075	c18
p7958	a12079
p2155	t4108
p2738	a5694
p7646	t20
p3705	a11126
p4599	t106
p10133	t4350
p8918	t108
p6851	t1916
p7602	t208
p11383	t392
p4410	a5399
p8971	a4626
p3393	c7
p2663	t2
p8372	a9162
p4612	a11487
p6480	t60
p3565	t556
p6213	t88
p2824	t10
p7942	t781
p240	a1605
p13323	a11268
p10682	a8386
p3713	t2527
p1309	t3820
p3025	c6
p590	t2762
p14055	t142
p4643	t1012
p11790	a4677
p3153	t33
p10388	a5724
p14223	a788
p2124	t1735
p10122	t43
p13121	a6023
p1747	t38
p947	t524
p13958	t1193
p5867	a10468
p9306	t2210
p5093	t136
p1580	a2810
p6514	t266
p3441	t842
p10932	t7565
p7390	t2987
p4446	a3342
p8523	t51
p13567	t8444
p13248	t4
p8443	a2937
p5250	t304
p2574	t740
p11902	t6
p7351	c10
p10122	c16
p7698	t5889
p1796	a7848
p10343	a8835
p3833	t284
p12304	t659
p10547	c16
p12048	t128
p3133	t846
p9749	t485
p95	t370
p2503	t43
p11228	t1
p11221	a747
p1656	t368
p55	t549
p3006	t4955
p6539	a2201
p5806	t2202
p13599	t44
p5267	t2840
p12469	t1241
p10398	a5463
p5591	t925
p6990	c10
p7927	t426
p2664	t81
p1534	t4044
p3131	t573
p6609	t6074
p2971	t1004
p10086	t539
p8545	t475
p14215	c19
p14018	t103
p8031	t263
p1362	a1275
p13282	t33
p1352	t487
p11327	t802
p12784	t19
p13613	c18
p9054	t495
p12885	t2140
p7394	t1134
p51	t1
p5716	t3740
p272	a1674
p12442	a14020
p3157	t5063
p6729	t1032
p5942	t991
p12167	c17
p2693	t1
p13667	t592
p13497	c18
p4336	t60
p10249	a12118
p8704	t43
p4495	t43
p9753	t515
p4838	t417
p3563	t345
p7461	a3533
p578	t278
p13177	t330
p4877	t4232
p8984	t102
p13719	t1401
p5245	t180
p5837	a6067
p1118	t120
p4653	t211
p2875	t4505
p876	c1
p1625	t597
p10587	t653
p2500	c3
p11395	a12928
p13478	t52
p11580	t194
p4820	t102
p14326	t601
p3936	t3683
p13152	t423
p11921	a10994
p5320	t537
p12928	t1142
p8878	a5032
p12411	t1038
p1967	t864
p1404	t442
p815	c1
p9591	t88
p2068	t2368
p3658	t19
p11695	t141
p8237	t840
p3669	t417
p4162	c7
p3105	t857
p10472	c16
p3636	a6988
p7420	a1613
p13033	t7666
p5466	t1068
p2406	a6316
p7097	t6011
p8699	c12
p5863	t26
p4561	t1
p5932	t878
p12574	t1012
p12905	t211
p8591	t3674
p8064	t1526
p14301	t548
p2494	t4475
p11291	c17
p7964	t354
p12080	t5142
p5940	t4
p5464	t1136
p4366	t187
p1268	a3315
p1542	t2316
p10787	t51
p9299	c14
p13949	a11217
p2659	t650
p12492	a14032
p5277	t10
p7635	t3804
p3599	t19
p11524	a9320
p3312	t425
p3683	t211
p9533	t1241
p55	t1100
p12887	t368
p11143	t7624
p8083	t19
p7498	t650
p12638	a5532
p1316	a3401
p13318	t8374
p9370	t2172
p7333	t60
p9882	t43
p4246	t1325
p7303	c10
p4869	t8853
p3522	t3597
p1034	a1163
p4427	t591
p3794	a11168
p8128	t33
p8766	t3297
p10113	t1242
p12667	t103
p14006	t4212
p4991	a7757
p3775	t625
p10659	t527
p3160	a4549
p4509	t3138
p5923	t266
p6305	a1183
p4536	t33
p6945	t224
p13194	a10778
p7735	t571
p14180	a9977
p207	t1656
p8395	t160
p6574	t1569
p11890	t7691
p927	t3411
p14039	t120
p8265	c11
p2642	a9902
p7500	t19
p7872	t1111
p10095	t115
p14236	c19
p9487	t1161
p7952	t2393
p13022	c18
p964	a2923
p5191	t462
p13288	t1997
p11898	t535
p2437	a15
p8691	t33
p6391	c10
p8139	t238
p6468	t1230
p13254	c18
p7360	t1102
p14208	t49
p9892	t432
p12015	c17
p8746	t51
p9444	t144
p4963	a6561
p2180	a4094
p8992	t925
p1982	t60
p13657	a5940
p1051	t1837
p7191	t867
p812	t285
p1509	c1
p943	a2893
p13963	a9538
p13629	c18
p10425	c16
p11630	t3001
p8505	c12
p8184	t426
p6212	a1183
p14114	t194
p7386	t61
p2280	a8286
p6825	a4896
p12813	t43
p7637	t108
p10729	t47
p10082	t864
p5295	t1996
p6477	a968
p4226	a7022
p11206	t263
p14308	a7357
p8878	t212
p8665	t212
p11373	a4780
p12165	t1
p3931	t282
p3328	t5048
p9089	c13
p7076	c10
p5896	t421
p11471	c17
p473	t537
p13969	a884
p12680	t90
p4169	t36
p2872	t24
p8689	t252
p6406	t5986
p7438	t43
p9004	c13
p7477	t4292
p11742	a11123
p4314	t1451
p7783	a9978
p7050	t20
p10478	t19
p11349	a3255
p12044	t1962
p13663	t520
p6688	t3537
p5031	t8878
p7673	t33
p7491	a3442
p14361	t49
p1185	a1762
p9187	a754
p5854	a4345
p2317	c2
p6587	t60
p4445	c7
p5453	t3003
p4309	a8656
p5829	t163
p10242	c16
p3143	t113
p5119	t783
p12934	t263
p9589	a5559
p4930	t3700
p11023	t431
p2011	t560
p12929	a14165
p13402	a4435
p6570	a2661
p8013	c11
p605	c1
p7985	t330
p11913	a4254
p11533	t798
p13541	a14293
p9486	t43
p1706	a7751
p13163	t33
p12582	t2363
p11943	a7496
p5643	t262
p5803	a127
p9626	t692
p10967	t649
p6732	t2433
p13885	t6189
p7833	t878
p1200	t1569
p294	c1
p5396	t12
p5275	t12
p6946	a12322
p6788	c10
p7654	a3335
p7098	t4
p11542	a7489
p8107	t1296
p4158	t7744
p1313	a3396
p1069	t128
p6119	t288
p9438	t425
p11440	t7749
p9076	t413
p10809	t1
p2524	t78
p11724	t106
p13791	a8512
p4024	t6812
p48	a1112
p2528	t60
p305	t19
p9383	a6596
p1357	t261
p9872	t4
p12426	a6614
p6079	t844
p5473	t872
p12915	t479
p8649	a5602
p2736	t953
p3385	a6470
p774	t3221
p7295	t53
p10853	t19
p9985	a6323
p2041	t778
p12425	t426
p11959	a8191
p13431	t113
p7437	a11942
p4642	a7084
p5569	t1
p10257	a10223
p551	t600
p12131	t179
p5698	t12
p9677	a13201
p856	t19
p9790	t4461
p10214	t219
p6742	t36
p3272	c7
p9654	t163
p7944	t1016
p3913	a10512
p4271	t53
p12951	a7543
p10098	a314
p12927	t221
p3567	t140
p4398	t481
p7643	t19
p3072	t423
p6188	t103
p2609	t43
p11997	t556
p3905	t1433
p11451	t750
p8785	a4865
p1241	a928
p11495	t612
p215	c1
p8208	a7133
p7046	t977
p13206	t8343
p3426	t626
p12802	t83
p4952	t1468
p8451	t6821
p11893	t106
p10823	t88
p10375	t19
p7106	t484
p13608	t562
p931	t37
p4864	t426
p6746	t2800
p8157	a6886
p10689	t4556
p11665	a4579
p4240	t426
p2705	a1372
p4889	t19
p2020	t4
p1320	t1272
p8925	c13
p5406	t5320
p13728	a8127
p10264	t1260
p5987	t5669
p3761	t1010
p12299	t8074
p1330	a2132
p621	t2995
p4242	t33
p13913	t688
p7587	t242
p1618	t423
p7683	t149
p7793	t918
p4190	a4226
p10812	a5250
p9646	c15
p12646	t897
p6047	t4
p3163	a10190
p6650	t1388
p8757	a2438
p7270	c10
p1331	t55
p5256	t12
p3901	a6534
p6437	a1443
p884	a2338
p5213	t212
p54	a1134
p13269	t2014
p5753	a3891
p8851	t417
p9622	a12426
p10087	a6143
p3663	a10778
p1163	a1485
p2025	t10
p6076	t1680
p7567	c10
p9332	t4
p8886	t19
p1248	a1224
p2790	t546
p11262	t19
p2998	a6507
p12391	t503
p10600	a8163
p13026	t1
p8238	t426
p13677	t426
p12936	t503
p4902	t2599
p5840	t661
p5153	a11720
p10138	t527
p711	t53
p14025	a1909
p3922	t452
p6783	t1230
p343	t4
p12261	t417
p519	t1068
p8764	t1190
p1515	t2874
p2450	t330
p8838	t417
p9952	t1132
p8360	t426
p8408	t202
p12008	c17
p7927	t33
p3089	a833
p4294	t950
p1685	t330
p7723	t43
p13079	t544
p2272	t462
p3261	a7509
p5088	t4438
p9349	a3227
p2374	a8591
p14141	a10383
p749	a2610
p5524	c9
p12389	t154
p10744	a12484
p12415	t33
p14079	a1743
p10450	t60
p3994	a5844
p11755	t674
p10060	t386
p3010	t43
p1586	t1028
p6868	t233
p9764	t734
p11848	t367
p99	t49
p13412	t517
p2692	t995
p12032	t19
p12825	t503
p12710	a6513
p2474	a93
p8722	t1295
p12988	a5335
p499	t1
p14110	t8604
p7588	t1132
p13664	t8471
p12191	t3012
p11521	t354
p8330	t2584
p2442	t51
p3121	t1540
p14373	t439
p580	t902
p6926	a1223
p1338	t33
p8124	t626
p6573	a1634
p12054	t707
p4873	a11602
p6281	t10
p10111	t3865
p11657	t327
p4373	t454
p3380	a4779
p6993	t43
p4874	t223
p1182	a1130
p11970	t1
p7707	t842
p996	t3485
p13153	t4
p5620	a3778
p11261	t1505
p2615	t381
p8247	c11
p2606	a8885
p6635	a6269
p1371	t2215
p270	t778
p6395	t830
p13200	t51
p7731	a12627
p14190	t19
p7620	t53
p2132	a4593
p3041	a5363
p3321	t60
p6585	t1827
p1425	t6
p13196	t60
p10047	a4669
p1406	a2489
p6362	t390
p11292	t330
p7171	a9827
p7473	c10
p1404	t19
p9578	t206
p10326	t1
p3055	a7227
p13102	t1053
p2287	t19
p11972	c17
p10180	t3749
p13335	t19
p2887	t293
p12822	t434
p2431	c3
p2328	a8673
p9834	t392
p5489	a2290
p655	a2453
p3555	t4927
p9619	t864
p5977	c10
p9019	a4514
p3127	t5042
p2841	a9817
p2157	t78
p3272	a4567
p3748	a9183
p2587	t179
p3933	t112
p12517	a4435
p4381	a7696
p10055	t187
p6221	c10
p7485	a8992
p7685	t6475
p4287	a11340
p14268	t668
p6130	t644
p2590	a9518
p4878	c8
p3268	a4933
p8229	t4231
p10291	t4
p10608	t33
p5696	t108
p698	c1
p13161	t1315
p1192	c1
p11314	a6371
p226	t1522
p6702	a1700
p1746	t60
p7337	c10
p5217	t338
p7965	t33
p7954	t12
p12425	a14012
p10713	a13533
p701	t60
p4500	a7491
p8077	t122
p11102	a7675
p8521	t1016
p13262	a9307
p5736	t3138
p13800	t2004
p7487	t78
p2565	t2
p7842	t1015
p8707	c12
p1903	t36
p5429	t12
p8638	t417
p4848	a2819
p12	t147
p2221	t1
p436	t4
p12679	c18
p5307	t4
p14144	a3468
p5022	t1222
p11604	a6168
p10414	t234
p12451	a14023
p9321	a4539
p2277	t432
p2885	a1123
p4971	t1853
p11748	t436
p12554	t2719
p13838	t78
p11302	t1451
p1534	t580
p7971	t1537
p13074	t673
p7129	t11
p5045	t3275
p8757	t2151
p1067	t304
p9417	t53
p14052	a12674
p9713	t460
p7036	t4535
p13763	t426
p563	t225
p11130	a7656
p2331	t395
p13681	t5722
p2008	t19
p469	t60
p13466	t43
p4698	t2202
p8306	t739
p171	t1543
p3444	t166
p11063	t88
p13730	t1
p4179	t7226
p614	c1
p2677	t2535
p2581	t127
p12750	a6444
p7582	t1461
p8763	t4017
p11465	t426
p11726	t7907
p9832	t19
p1261	a275
p1048	t329
p9026	a5649
p3048	t2695
p4170	c7
p9579	a1759
p3164	a7267
p13970	t36
p12801	t53
p7767	t1111
p10737	a9906
p2528	t108
p9717	a392
p3128	t36
p8107	a7236
p4678	t103
p1042	t502
p4063	t1494
p1756	t431
p482	a2117
p12829	t1
p3035	t491
p7636	a4986
p3249	t5209
p11702	a7090
p11733	t776
p9427	a2705
p2836	t481
p3861	t37
p4621	a4434
p9176	a8599
p3126	t5041
p94	t1048
p2068	t435
p9228	t315
p12562	t1536
p8024	a336
p5207	t78
p9791	t51
p11974	t4959
p13324	t33
p12884	a4309
p12130	t938
p381	t2628
p2821	t28
p10726	t19
p12892	t444
p2738	a4725
p11859	t7952
p12100	t10
p8958	t4
p7516	t55
p3420	a134
p8676	t93
p14083	t224
p3535	t474
p11042	a7868
p6125	t5578
p13244	t598
p4316	t399
p13899	t1
p10059	t235
p11930	a3250
p4994	a4433
p8496	t224
p103	c1
p13090	t878
p11523	t43
p2508	t4501
p1847	t776
p7817	a4718
p11478	t622
p1037	t19
p4184	t7736
p12799	a1372
p8964	t19
p13835	t4
p8144	c11
p2259	t536
p8418	t2392
p8158	t1727
p1918	a7736
p11347	t6245
p8604	t10
p9442	a6782
p3787	a7481
p1789	c2
p11814	c17
p9003	t143
p6323	a3142
p9172	t7073
p8722	t106
p10077	a5723
p110	a1296
p11284	t369
p6038	t603
p5385	c9
p10659	t432
p6166	a1071
p3036	c6
p12513	t8164
p3836	a6507
p8704	t442
p11956	c17
p14056	t4657
p6280	c10
p5641	t106
p118	a1065
p9019	t1909
p6403	t33
p13494	t8424
p10354	t33
p12753	a5995
p10449	t1883
p6445	a2041
p4191	c7
p9098	t3619
p11783	t520
p535	t2553
p1451	a1780
p1496	t3999
p13989	a7899
p1869	t426
p7407	t2122
p10509	t527
p5772	t676
p1285	t1305
p6764	t102
p3281	t60
p14243	c19
p1804	t221
p13743	t53
p9869	t550
p8938	t219
p3540	a1986
p13185	t52
p9302	t214
p13622	t52
p439	a160
p1173	t4
p4315	t278
p10108	a1693
p3523	t617
p9709	t1992
p8493	t1251
p13632	t262
p6230	t225
p8789	t4647
p13014	a9452
p5324	t142
p6489	t12
p599	t68
p10658	a11916
p5093	t1251
p12635	t2004
p9176	t887
p6839	c10
p428	a2005
p10968	t2248
p14336	t863
p11097	t33
p3536	t33
p5540	t1224
p5457	a1123
p5660	t629
p6810	t17
p8250	a11106
p11564	t312
p2230	c2
p130	t159
p10146	t172
p3494	a4834
p3438	t2482
p1509	t502
p10859	t4
p721	t501
p3590	t426
p3368	t60
p3716	t1169
p4238	c7
p7842	t6550
p9247	c14
p3304	t715
p7648	t115
p261	t1103
p10875	t60
p12417	t377
p9932	t432
p1481	t580
p1646	a2795
p7359	a663
p7540	t379
p8742	t1815
p2928	t4307
p10101	t286
p11919	t4
p1834	t1811
p7960	t190
p12221	t53
p13863	a14058
p6478	t483
p4875	a8833
p5672	t211
p13468	c18
p6033	t1343
p4278	t2793
p13883	c18
p13312	a4445
p8611	t417
p7868	t4664
p12898	t43
p3792	a8271
p12671	t2243
p7928	t860
p12386	t4
p9357	t586
p5206	t28
p13338	t1331
p4313	t438
p653	t3063
p5634	t12
p9467	c14
p2663	t1
p9715	t440
p5388	t510
p10504	t2827
p3888	t520
p9195	t659
p7512	t60
p6923	a1642
p11532	t548
p11538	t1827
p2678	t33
p9781	t840
p3576	t474
p6365	t60
p4478	t786
p10873	t893
p10792	t286
p8076	a1672
p13888	a9124
p12934	t60
p7107	c10
p11956	t278
p3987	t51
p8369	t840
p5294	t5271
p11528	t483
p2622	t548
p8748	t802
p3903	t64
p9364	t750
p8855	t60
p1941	a7994
p3192	t19
p8964	t1735
p13189	t1274
p767	a1486
p8814	t1306
p11471	t2075
p5135	t24
p6968	t19
p8275	a10678
p9346	t884
p3325	a4782
p4416	a6394
p9711	t1643
p14253	a3895
p4730	a4982
p11011	a10346
p8467	t6825
p14016	t5117
p1918	t274
p13525	t19
p9870	t7278
p12780	a9333
p1787	t33
p8057	t308
p579	t4
p7657	t56
p8711	t674
p11429	t774
p9676	t3870
p8821	t2986
p4988	t766
p1067	t233
p13442	a14271
p12571	t53
p6805	t166
p2350	t90
p10502	t81
p12613	t2141
p5986	t1196
p13269	t2428
p9833	t416
p6168	a12186
p8748	a470
p8433	t147
p6193	t1768
p9676	a6642
p4219	t97
p5426	t1320
p13097	t43
p13146	c18
p13106	t426
p9640	t417
p233	t33
p3591	t108
p8326	t113
p1879	a5727
p6841	c10
p9556	t2284
p2693	t221
p5505	a2330
p12571	a6387
p12586	t4542
p3845	t630
p7842	a8618
p12890	t630
p8374	t797
p5255	t476
p12532	t836
p12140	t261
p1871	a2653
p13217	a4288
p3272	a752
p163	t36
p4450	c7
p13428	a7574
p13298	t33
p8298	t37
p14272	t1169
p2202	t481
p8083	t446
p8063	t840
p1084	a2208
p3411	t441
p3086	t1004
p13925	a699
p2257	t3597
p10835	a1123
p4869	t10
p11796	t2221
p3829	t1492
p10111	t688
p1246	c1
p5160	a11664
p2649	t650
p2832	t224
p6019	t2
p3888	t460
p8235	t546
p4383	t565
p10993	a11768
p6246	t9
p8353	a10803
p1852	a7909
p12088	t897
p8148	a12787
p689	t200
p13364	t1647
p2249	t649
p695	c1
p3226	t10
p190	a939
p8207	a12803
p12837	a8168
p4248	t90
p10783	t2122
p2672	t527
p12233	t53
p6818	t106
p7486	c10
p11055	a4020
p4861	t19
p11027	a8466
p8995	t4584
p11355	a10969
p4800	t635
p5223	a5576
p7962	t426
p391	t37
p3248	a4434
p12460	t7737
p12738	a4611
p3951	t10
p4923	t2554
p8411	a8251
p11867	t330
p3665	t112
p5687	t4131
p10503	t19
p13727	t893
p7867	t4716
p8425	t74
p4742	t3366
p1115	t2036
p9773	t263
p10357	t529
p12349	c17
p6537	t187
p8404	a12862
p12742	t425
p14348	t78
p8084	a2322
p653	t3064
p1180	c1
p6397	c10
p4272	t97
p2253	t460
p12060	t19
p1072	t116
p11133	t60
p672	a2274
p12335	a284
p12617	t714
p5992	t10
p5866	t115
p9060	t1936
p3367	t194
p1463	t1454
p4286	t92
p13391	a6825
p12943	a7741
p6183	a12191
p12421	t19
p5631	a11927
p7847	t37
p14078	t103
p12254	c17
p14197	t3064
p10398	t352
p4133	t202
p6209	t166
p5251	t1440
p6069	t5713
p7393	t12
p13038	t4
p368	c1
p2651	t4625
p7025	a12179
p5162	t2262
p4468	a2705
p5638	a11596
p11583	t60
p13108	a9512
p89	t1248
p4446	t1187
p11350	a11159
p13546	t127
p12147	a6946
p10506	t1273
p8979	t179
p1304	t954
p8850	t441
p1973	a5457
p5942	t516
p12238	t8058
p10148	a1503
p2204	a8057
p10138	t60
p1015	c1
p3530	t19
p13335	t875
p2839	t179
p11094	a7439
p6144	t1134
p9378	t60
p3608	t148
p3915	t4
p3156	t1996
p3457	t4234
p12580	t327
p12876	t617
p3929	t149
p12501	c17
p8231	c11
p4251	t417
p10306	t818
p4463	a8681
p10649	t78
p13117	t399
p13622	t2274
p8640	t176
p618	a2387
p13893	t8526
p741	t42
p4452	t4
p13379	t503
p2037	t739
p8296	t5331
p2006	t417
p3326	t112
p11275	t556
p2657	a5472
p9190	t1811
p242	t1747
p5634	t1088
p9894	a1372
p5525	c9
p9135	t878
p3029	t956
p5883	t753
p13037	c18
p55	t19
p7421	t1190
p7970	a4328
p7486	t1074
p6999	t1
p7121	a12357
p3453	t3122
p13992	a9251
p14348	t3845
p5217	t1136
p11350	t5552
p6610	a1977
p2375	t825
p3540	t1472
p3024	t118
p1118	t1
p8251	c11
p4243	t19
p14076	c19
p896	t1
p1634	t527
p5864	a6256
p8564	t1529
p6815	t43
p7591	c10
p13934	a9124
p11510	c17
p12560	a628
p7655	a1190
p4536	a6059
p2136	a4705
p10448	t704
p7517	a2505
p11097	t503
p10410	t263
p12530	a7485
p2106	c2
p11200	c17
p9005	a6642
p9468	t4966
p575	c1
p7176	t2804
p11540	a13801
p9817	t129
p1643	t675
p4729	t1984
p10069	t221
p14182	c19
p124	t12
p5307	a1836
p8156	t539
p4848	t277
p14373	a6252
p11172	t60
p10064	t1963
p5683	a6223
p8741	a5488
p5633	t2247
p9002	c13
p13392	a4254
p6861	t224
p1317	t106
p4625	t222
p10989	t226
p9714	t4687
p8656	t33
p13824	t1
p704	t97
p6007	t517
p10304	t221
p3274	t714
p576	t19
p7892	a12689
p8760	t4780
p13742	t488
p14259	c19
p660	t1118
p12336	t447
p4727	t53
p13808	t1353
p9482	c14
p4080	c7
p6368	t33
p695	t78
p7999	t1
p5297	a1516
p3461	t2055
p2871	t176
p13252	a6851
p5477	t19
p13970	t285
p7173	t320
p6524	t1528
p5433	t4911
p7436	c10
p12852	t474
p7039	t102
p3857	c7
p8395	a6566
p8924	t106
p6377	t51
p9777	c15
p13540	t474
p3687	t252
p2020	a4143
p2798	a9988
p13655	t2892
p11430	t746
p7101	t4718
p13902	c18
p9138	a6386
p3229	t674
p8382	a3838
p3919	a8350
p11946	t2252
p6645	t166
p6836	t197
p13680	t864
p7528	t19
p7825	t426
p8140	c11
p2914	t108
p13152	t4
p10503	a624
p5409	a3261
p12804	a10165
p5987	t1295
p7436	a3587
p10678	t4
p11211	t935
p10094	t358
p12237	t142
p10761	t330
p12180	t136
p12295	t2347
p2915	a3097
p12315	c17
p5793	a1590
p9751	c15
p13537	t19
p1301	t3558
p2636	a9898
p3096	c6
p2024	t432
p12557	t959
p1950	t435
p7749	t2733
p5921	a942
p1266	t53
p9562	t503
p5131	t417
p12986	t43
p3754	t508
p7590	t477
p6800	a3701
p1974	t465
p3898	t103
p7503	t189
p3860	t1688
p6494	t457
p5118	t417
p13920	t629
p8374	a11714
